kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3317015,24/12/2015,RS Umum Daerah dr. R. Soetrasno Rembang,RSU,C,"dr. H. Agus Setiyo HP, M.Kes","Jl. Pahlawan No.16,Rembang",Pemkab,Rembang,59218,0295-691444,0295-692613,10/08/2018
3324014,10/10/2012,RS Umum Daerah  Dr. H. Soewondo Kendal,RSU,B,"Dr. Haris Tiyanto, Sp. B","Jl. Laut No. 21, Kendal",Pemkab,Kendal,51311,381433,381573,10/08/2018
3372063,26/11/2014,RS Orthopedi Prof. Dr. R. Soeharso,RS O,A,"Dr. Pamudji Utomo, Sp.OT(K)","Jl. Jenderal Ahmad Yani Pabelan, Surakarta 57162",Kemkes,Sukoharjo,57162,0271-714458,0271-714058,10/08/2018
3374145,24/10/2004,RS Umum Hermina Pandanaran,RSU,C,"dr. ENDANG SULISTYOWATI, SpA","Jl. Pandanaran No.24,Semarang",Swasta/Lainnya,Kota Semarang,50134,0248442525,0248450818,10/08/2018
3376023,31/03/2012,RS Umum  Mitra Siaga,RSU,C,"dr. Wahyu Heru Triyono, M.Kes",Jl. Pala Raya No.54 Tegal,Swasta/Lainnya,Tegal,52181,0283-322550,0283-351518,10/08/2018
3515110,03/04/2012,RS Umum Jasem,RSU,D,"dr. H.M. Dawam Wahab, MM",Jl. Samanhudi No.85 A Sidoarjo,Swasta/Lainnya,Sidoarjo,61216,(031)-8962129,(031)-8940633,10/08/2018
3522014,23/05/2006,RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo,RSU,B,"dr. H. Hariyono,   M.Si","Jl. Veteran No 36, Bojonegoro",Pemkab,Bojonegoro,62111,0353-3412133,0353-3412133,10/08/2018
3526011,16/03/2016,RS Umum Daerah Syarifah Ambami Rato Ebu,RSU,B,Drg. Yusro,Jl. Pemuda Kaffa No. 9 Bangkalan,Pemkab,Bangkalan,69112,3091111,3094108,10/08/2018
3573066,10/06/1999,RS Umum Lavalette Malang,RSU,B,"Dr.Abdul Rokhim,MARS",Jl. WR. Supratman No.10 Kota Malang,Swasta/Lainnya,Kota Malang,65111,482612,481960,10/08/2018
3603060,22/08/2017,RS Bhineka Bakti Husada,RSU,C,dr. Hadiyani Nugraha,"Jl. Cabe Raya No.17 Pondok Cabe, Pamulang Tangerang",Swasta/Lainnya,Kota Tangerang Selatan,15418,0217490829,0217499157,10/08/2018
3671126,03/03/2014,RS Umum Aminah,RSU,C,Dr Akmal Yadi MARS,"Jl. Hos Cokroaminoto No.4 A, Kreo Selatan",Swasta/Lainnya,Kota Tangerang,15156,021-7371919,021-7371333,10/08/2018
3671065,19/02/2013,RS EMC Tangerang,RSU,B,"Dr. dr. Felix Kasim, M.Kes",Jl. KH. Hasyim Ashari No.24 Tangerang,Swasta/Lainnya,Kota Tangerang,15119,021.55754335,021.55754335,10/08/2018
6401014,20/10/2011,RS Umum Daerah Panglima Sebaya,RSU,C,"dr. IBN Eka Wesnawa, S.pB",Jl. Kusuma Bangsa KM.5 Tanah Grogot,Pemkab,Paser,76211,054324563,054323294,10/08/2018
7203016,10/01/2015,RS Umum Daerah Morowali,RSU,C,"dr. Sandra Susanty, MARS",Jl. Trans Sulawesi Fonuasingko Bungku,Pemkab,Morowali,94673,04092220085,04092220085,10/08/2018
7271025,23/01/2014,RS TK.IV Wirabuana Palu,RSU,C,"dr. Dudy Kusmartono, Sp. B","Jl. Sisinga Mangaraja No.4,Palu",TNI AD,Kota Palu,94111,0451-421575,0451-411903,10/08/2018
7271036,11/10/2013,RS Umum Anutapura Palu,RSU,B,"dr. Ruslan Ramlan Ramli, Sp.S",Jl. Kangkung No. 1 Palu,Pemkot,Kota Palu,94113,0451-460570,0451-461567,10/08/2018
7371256,01/12/2016,RS Khusus Daerah Ibu dan Anak Siti Fatimah,RSIA,B,"DR.dr. H.Leo Prawirodihardjo, Sp.OG(K),M",Jl. Gunung Merapi No. 73 Makassar,Pemprop,Kota Makassar,90112,0411-3624956,0411-3625784,10/08/2018
8171121,10/08/2018,RS Bhayangkara Ambon,RSU,Belum ditetapkan,"Dr. Agus Gede Made Artha, SpTHT-KL","Jl. Sultan Hasanuddin - Tantui, Ambon",POLRI,Kota Ambon,97128,0911-349450,0911-311949,10/08/2018
3328078,26/08/2011,RS Umum Adella,RSU,D,"dr.H.M. Abdul Djalil, M.Kes",Jl. Prof.Moh. Yamin No.77 Slawi,Swasta/Lainnya,Tegal,52413,(0283)-491154,(0283)-491354,10/08/2018
